id,source,target_sign,context_before,context_after,transliteration,translation,role,notes
real_000006_001,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,loaf,W24,,sn.nwt,,phonetic,Weak label confidence=0.85: phonetic value appears in transliteration without meaning evidence. Full context: 2 W24 X1
real_000011_000,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,stroke,,Z1 Z1 Z1,27,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: 20 Z1 Z1 Z1 Z1 Z1 Z1 Z1
real_000011_001,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,stroke,Z1,Z1 Z1 Z1,27,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: 20 Z1 Z1 Z1 Z1 Z1 Z1 Z1
real_000011_002,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,stroke,Z1 Z1,Z1 Z1 Z1,27,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: 20 Z1 Z1 Z1 Z1 Z1 Z1 Z1
real_000011_003,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,stroke,Z1 Z1 Z1,Z1 Z1 Z1,27,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: 20 Z1 Z1 Z1 Z1 Z1 Z1 Z1
real_000011_004,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,stroke,Z1 Z1 Z1,Z1 Z1,27,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: 20 Z1 Z1 Z1 Z1 Z1 Z1 Z1
real_000011_005,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,stroke,Z1 Z1 Z1,Z1,27,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: 20 Z1 Z1 Z1 Z1 Z1 Z1 Z1
real_000011_006,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,stroke,Z1 Z1 Z1,,27,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: 20 Z1 Z1 Z1 Z1 Z1 Z1 Z1
real_000014_000,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,water,,X1 G4 P1,xmnty.w,,phonetic,Weak label confidence=0.85: phonetic value appears in transliteration without meaning evidence. Full context: 4 4 N35 X1 G4 P1 Z2
real_000014_001,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,loaf,N35,G4 P1 Z2,xmnty.w,,phonetic,Weak label confidence=0.85: phonetic value appears in transliteration without meaning evidence. Full context: 4 4 N35 X1 G4 P1 Z2
real_000023_000,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,,A12 Z3A,mSa,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A1 A12 Ff1 Z3A
real_000024_000,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,,B1 Z2,rmT.w,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A1 B1 Z2
real_000026_000,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,,G39,sA,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A1 G39
real_000027_000,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,,G7,=i,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A1 G7
real_000028_000,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,,N33 N33 N33,=i,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A1 N33 N33 N33
real_000029_000,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,,O34 Z1,s,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A1 O34 Z1
real_000029_002,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,stroke,A1 O34,,s,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A1 O34 Z1
real_000030_000,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,,V30,nb,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A1 V30
